row,stimulus,Source_current,Frame_current,Source_clean_label,Frame_clean_label,Source_AI,Frame_Gain,Intention,HealthC,main_model_complete,current_matches_clean,single_stimulus_text
26,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,5.83333333333333,True,True,True
27,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,6.33333333333333,True,True,True
28,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.33333333333333,True,True,True
29,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,6.16666666666667,True,True,True
30,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,6.66666666666667,6.16666666666667,True,True,False
31,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,5.83333333333333,True,True,True
32,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,7.0,7.0,True,True,True
33,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.0,5.66666666666667,True,True,True
34,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.33333333333333,6.16666666666667,True,True,True
35,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.16666666666667,True,True,True
36,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.0,5.83333333333333,True,True,True
37,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,6.33333333333333,6.16666666666667,True,True,True
38,"Stimuli C. human gain,Stimuli C. human gain",1.0,1.0,Human expert,Gain frame,0.0,1.0,6.33333333333333,6.0,True,True,False
39,"Stimuli B. AI loss,Stimuli B. AI loss",0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.0,True,True,False
40,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,5.16666666666667,True,True,True
41,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,6.0,6.33333333333333,True,True,True
42,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,6.33333333333333,5.66666666666667,True,True,True
43,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,5.66666666666667,5.83333333333333,True,True,True
44,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.33333333333333,5.5,True,True,True
45,Stimuli A. AI gain,0.0,1.0,AI coach,Gain frame,1.0,1.0,5.66666666666667,6.16666666666667,True,True,True
46,"Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,7.0,6.5,True,True,False
47,"Stimuli D. human loss,Stimuli D. human loss,Stimuli D. human loss",1.0,0.0,Human expert,Loss frame,0.0,0.0,5.33333333333333,5.83333333333333,True,True,False
48,Stimuli D. human loss,1.0,0.0,Human expert,Loss frame,0.0,0.0,5.66666666666667,6.0,True,True,True
49,"Stimuli B. AI loss,Stimuli B. AI loss",0.0,0.0,AI coach,Loss frame,1.0,0.0,5.33333333333333,5.16666666666667,True,True,False
50,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.33333333333333,6.0,True,True,True
51,Stimuli C. human gain,1.0,1.0,Human expert,Gain frame,0.0,1.0,5.33333333333333,6.33333333333333,True,True,True
52,Stimuli B. AI loss,0.0,0.0,AI coach,Loss frame,1.0,0.0,6.66666666666667,6.0,True,True,True
